repo,condition,rows,parse_ok,actor_recall,use_case_recall,path_fidelity,behavior_coverage,unsupported_feature_rate,elapsed_sec,composite_score,artifact_chars,predicted_use_cases
thakurpdhiraj__library_management_system,file_tree_only,8,1.0,0.625,0.31249999999999994,0.047047859547859554,0.12489091954941624,0.53125,22.497875,30.93932098419843,2662.0,8.0
thakurpdhiraj__library_management_system,full_selected_context,8,0.875,0.6666666666666666,0.4270833333333333,0.05737766697588127,0.15155243079396108,0.38920454545454547,52.796875,37.81004434688159,50617.0,7.375
thakurpdhiraj__library_management_system,oracle_upper_bound,8,0.875,0.625,0.4479166666666667,0.07860889936782794,0.1510906747133292,0.3472222222222222,57.735125,38.54339921916761,50637.0,7.25
thakurpdhiraj__library_management_system,random_code_same_budget,8,1.0,0.5833333333333333,0.28125,0.015066964285714286,0.16218820867027983,0.4878472222222222,42.689874999999994,29.366106860212923,28327.0,7.125
thakurpdhiraj__library_management_system,readme_only,8,1.0,0.8333333333333333,0.4375,0.006696428571428571,0.17786162784279536,0.3350694444444444,24.486124999999998,41.430325211292725,5867.0,8.0
thakurpdhiraj__library_management_system,readme_plus_code,8,0.75,0.5833333333333333,0.3854166666666667,0.02061293740981241,0.1461638167528817,0.484375,48.461999999999996,32.91721599948948,41931.0,7.0
tough-dev-school__education-backend,file_tree_only,8,1.0,0.2750000000000001,0.11764705882352941,0.0678030303030303,0.13264110846087837,0.7534722222222222,27.208374999999997,15.428602069575087,5144.0,7.5
tough-dev-school__education-backend,full_selected_context,8,0.875,0.19999999999999998,0.08823529411764706,0.020833333333333332,0.04395191697400432,0.8125,46.825250000000004,10.03918071539438,46868.0,5.5
tough-dev-school__education-backend,oracle_upper_bound,8,1.0,0.175,0.125,0.10708333333333334,0.12826385654967262,0.5111607142857143,45.868125,16.829017372054615,46394.0,4.125
tough-dev-school__education-backend,random_code_same_budget,8,0.875,0.175,0.022058823529411763,0.0,0.037340948525159054,0.9010416666666666,30.466124999999998,5.821756384740132,22708.0,5.0
tough-dev-school__education-backend,readme_only,8,1.0,0.15,0.058823529411764705,0.0,0.029272882294214375,0.78125,14.007499999999999,7.68541676382498,2897.0,4.375
tough-dev-school__education-backend,readme_plus_code,8,0.875,0.125,0.11029411764705883,0.010416666666666666,0.06033397836458478,0.765625,37.619625,9.817387126449164,33754.0,6.25
